Survey,Year,Month,End month,Timing,Biomass,meanNASC,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
8303-05,1983,3,5,4,8512674,6.155225019,0,0,0,0,0,0,0,0,0,0,0,0,0.8335,7.5625,39.115,214.3365,604.525,802.714,787.1785,771.9035,779.2825,580.6915,386.06,275.236,180.163,229.9455,625.338,1203.094,1159.1695,612.8565,350.181,169.689,85.3745,43.5745,26.557,16.59,7.0465,1.091,0.8915,0.581,1.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8309-12,1983,9,12,10.5,5146184,92.98032787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5925,14.236,53.839,97.7335,137.0325,147.264,113.7305,83.4905,42.623,9.805,28.931,92.9395,124.996,88.095,51.1945,25.2475,10.478,5.75,1.8575,2.944,0.238,1.091,0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8406-09,1984,6,9,7.5,5001913,23.79423403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1975,1.668,5.1705,13.9035,34.205,81.4955,143.398,112.2325,63.781,135.4695,315.059,436.5805,277.975,165.2225,146.621,110.5835,86.222,48.5285,32.081,36.107,26.884,23.4595,19.5445,23.7115,25.5815,28.658,16.6045,10.9095,10.8555,4.8,1.418,0.0725,0,0.2005,0.7995,0,0,0,0,0,0,0,0
8503-05,1985,3,5,4,180259,6.155225019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8604-05,1986,4,5,4.5,4329874,119.6094787,0,0,0,0,0,0.786,3.5015,6.39,27.1635,112.6415,369.6015,634.116,730.7465,963.5935,914.7515,853.022,691.414,386.3935,116.023,21.738,2.6795,3.0485,8.0815,12.3225,6.6135,14.5045,9.158,18.65,56.6675,103.0085,133.9795,133.717,83.63,35.4365,17.318,6.009,4.329,2.2905,3.0735,2.763,5.89,11.563,18.655,27.056,31.2935,30.8025,24.0555,30.8555,18.324,5.744,1.599,0,0,0,0,0,0,0,0
8610-12,1986,10,12,11,2710220,14.24833703,0,0,0,0,0,0,0,0.3785,2.969,4.8945,3.061,5.152,4.0455,6.0465,17.6235,12.214,21.0955,62.754,92.0235,80.502,44.155,21.178,19.2905,6.286,4.9585,2.389,0.9835,0.1985,2.5385,5.785,6.7215,9.2565,4.807,2.9265,0.7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8708-09,1987,8,9,8.5,6471955,47.72086413,0,0,0,0,0,0,0,0,0,0,2.606,10.304,22.2605,41.734,52.134,75.014,103.005,234.5745,716.8485,1696.621,2686.5475,2951.2285,2338.107,1692.3715,1005.958,520.2895,302.9915,274.723,186.001,142.6145,194.325,291.804,310.7685,235.8575,152.9135,87.106,51.7995,29.686,11.0035,5.965,4.7455,3.0925,0.5635,0.4365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8805-07,1988,5,7,6,2811590,25.99787911,0,0,0,0,0,0,0,0,0,0,0,0,0,1.849,4.1975,3.486,5.2575,4.941,8.4435,19.9995,118.7035,437.3875,864.833,983.1175,773.497,655.3625,589.945,463.751,266.5745,121.714,72.987,53.391,60.426,68.04,62.8845,50.9045,46.5,12.3265,13.0795,2.692,0.7095,0.4725,0.5275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8907-09,1989,7,9,8,4302930,21.65282392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305,5.8995,16.8165,48.3285,213.2535,662.052,889.8455,730.802,453.6715,228.264,113.0745,63.095,62.496,55.365,29.041,6.7255,2.2905,2.6745,0,0.3815,0.6185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8911-12,1989,11,12,11.5,4365164,113.0082063,0.7415,14.411,20.394,32.5405,6.124,1.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.487,3.0165,12.528,60.394,168.8695,240.8095,203.6365,140.7965,62.965,24.1225,8.296,2.8235,0.2555,0.9265,1.0735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9002-04,1990,2,4,3,5971710,144.6789072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1065,0.8935,0,0,0,0,1.305,5.8995,25.1615,62.9405,289.884,604.3545,521.6605,242.35,96.85,44.7965,20.9855,6.1195,4.4155,2.9485,1.2555,1.0735,0.1085,0.8915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9011-13,1990,11,13,12,5915250,59.77985075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.589,57.7525,229.711,326.786,375.449,394.041,225.2815,129.9025,75.1495,41.711,17.6585,30.5525,129.1385,383.359,472.216,272.636,127.8435,55.848,15.296,2.8235,0.2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106-08,1991,6,8,7,5597492,73.54003224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577,4.459,15.315,30.74,108.869,276.8075,348.6105,274.8165,113.1355,23.2175,38.385,49.095,36.919,11.8255,4.7905,1.091,0.3465,0.8355,0.1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201-03,1992,1,3,2,2957578,20.47755391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9245,2.1995,16.7155,105.958,161.5145,113.843,85.4865,51.888,21.648,9.027,10.975,24.0325,72.8605,70.055,54.644,18.413,10.479,5.2795,2.7445,1.966,0.3465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
